No.of packets,coverage
1 ,1.39
2 ,2.78
3 ,4.17
4 ,5.56
5 ,6.94
6 ,8.33
7 ,9.72
8 ,11.11
9 ,11.11
10 ,12.5
11 ,13.89
12 ,15.28
13 ,16.67
14 ,18.06
15 ,18.06
16 ,19.44
17 ,20.83
18 ,20.83
19 ,22.22
20 ,23.61
21 ,25.0
22 ,26.39
23 ,26.39
24 ,27.78
25 ,29.17
26 ,29.17
27 ,30.56
28 ,31.94
29 ,33.33
30 ,34.72
31 ,36.11
32 ,37.5
33 ,38.89
34 ,40.28
35 ,40.28
36 ,41.67
37 ,41.67
38 ,41.67
39 ,41.67
40 ,41.67
41 ,43.06
42 ,44.44
43 ,45.83
44 ,47.22
45 ,48.61
46 ,48.61
47 ,48.61
48 ,50.0
49 ,51.39
50 ,52.78
51 ,54.17
52 ,55.56
53 ,55.56
54 ,55.56
55 ,55.56
56 ,55.56
57 ,55.56
58 ,55.56
59 ,56.94
60 ,56.94
61 ,58.33
62 ,58.33
63 ,58.33
64 ,58.33
65 ,58.33
66 ,58.33
67 ,59.72
68 ,59.72
69 ,61.11
70 ,62.5
71 ,63.89
72 ,63.89
73 ,63.89
74 ,65.28
75 ,65.28
76 ,66.67
77 ,68.06
78 ,69.44
79 ,70.83
80 ,70.83
81 ,70.83
82 ,70.83
83 ,70.83
84 ,72.22
85 ,72.22
86 ,72.22
87 ,72.22
88 ,73.61
89 ,75.0
90 ,75.0
91 ,75.0
92 ,75.0
93 ,76.39
94 ,76.39
95 ,76.39
96 ,76.39
97 ,76.39
98 ,77.78
99 ,77.78
100 ,77.78
101 ,79.17
102 ,79.17
103 ,80.56
104 ,81.94
105 ,81.94
106 ,83.33
107 ,83.33
108 ,83.33
109 ,83.33
110 ,83.33
111 ,83.33
112 ,83.33
113 ,83.33
114 ,83.33
115 ,84.72
116 ,84.72
117 ,84.72
118 ,84.72
119 ,84.72
120 ,84.72
121 ,84.72
122 ,86.11
123 ,87.5
124 ,87.5
125 ,87.5
126 ,87.5
127 ,87.5
128 ,87.5
129 ,87.5
130 ,87.5
131 ,87.5
132 ,87.5
133 ,87.5
134 ,88.89
135 ,90.28
136 ,90.28
137 ,90.28
138 ,90.28
139 ,90.28
140 ,90.28
141 ,90.28
142 ,90.28
143 ,90.28
144 ,90.28
145 ,90.28
146 ,90.28
147 ,90.28
148 ,90.28
149 ,90.28
150 ,90.28
151 ,90.28
152 ,90.28
153 ,90.28
154 ,91.67
155 ,91.67
156 ,91.67
157 ,93.06
158 ,93.06
159 ,93.06
160 ,93.06
161 ,93.06
162 ,93.06
163 ,93.06
164 ,93.06
165 ,93.06
166 ,93.06
167 ,93.06
168 ,93.06
169 ,93.06
170 ,93.06
171 ,93.06
172 ,93.06
173 ,93.06
174 ,93.06
175 ,93.06
176 ,93.06
177 ,93.06
178 ,93.06
179 ,93.06
180 ,93.06
181 ,93.06
182 ,93.06
183 ,93.06
184 ,93.06
185 ,93.06
186 ,93.06
187 ,93.06
188 ,93.06
189 ,93.06
190 ,93.06
191 ,93.06
192 ,93.06
193 ,93.06
194 ,93.06
195 ,93.06
196 ,93.06
197 ,93.06
198 ,93.06
199 ,94.44
200 ,94.44
201 ,94.44
202 ,94.44
203 ,94.44
204 ,94.44
205 ,94.44
206 ,94.44
207 ,94.44
208 ,94.44
209 ,94.44
210 ,94.44
211 ,94.44
212 ,94.44
213 ,94.44
214 ,94.44
215 ,94.44
216 ,94.44
217 ,94.44
218 ,94.44
219 ,94.44
220 ,94.44
221 ,94.44
222 ,94.44
223 ,94.44
224 ,94.44
225 ,94.44
226 ,94.44
227 ,94.44
228 ,94.44
229 ,94.44
230 ,94.44
231 ,94.44
232 ,94.44
233 ,94.44
234 ,94.44
235 ,94.44
236 ,94.44
237 ,94.44
238 ,94.44
239 ,94.44
240 ,94.44
241 ,94.44
242 ,94.44
243 ,94.44
244 ,94.44
245 ,94.44
246 ,94.44
247 ,94.44
248 ,94.44
249 ,94.44
250 ,94.44
251 ,94.44
252 ,94.44
253 ,94.44
254 ,94.44
255 ,95.83
256 ,95.83
257 ,95.83
258 ,95.83
259 ,95.83
260 ,95.83
261 ,95.83
262 ,95.83
263 ,95.83
264 ,95.83
265 ,95.83
266 ,95.83
267 ,95.83
268 ,95.83
269 ,95.83
270 ,95.83
271 ,95.83
272 ,95.83
273 ,95.83
274 ,95.83
275 ,95.83
276 ,95.83
277 ,95.83
278 ,95.83
279 ,95.83
280 ,95.83
281 ,95.83
282 ,95.83
283 ,97.22
284 ,97.22
285 ,97.22
286 ,97.22
287 ,97.22
288 ,97.22
289 ,97.22
290 ,97.22
291 ,97.22
292 ,97.22
293 ,97.22
294 ,97.22
295 ,97.22
296 ,97.22
297 ,97.22
298 ,97.22
299 ,97.22
300 ,97.22
