1No.of packets,coverage
1 ,0.42
2 ,0.83
3 ,1.25
4 ,1.67
5 ,2.08
6 ,2.5
7 ,2.92
8 ,3.33
9 ,3.75
10 ,4.17
11 ,4.58
12 ,4.58
13 ,5.0
14 ,5.42
15 ,5.83
16 ,6.25
17 ,6.67
18 ,7.08
19 ,7.5
20 ,7.92
21 ,8.33
22 ,8.33
23 ,8.75
24 ,9.17
25 ,9.58
26 ,10.0
27 ,10.42
28 ,10.83
29 ,10.83
30 ,11.25
31 ,11.67
32 ,11.67
33 ,12.08
34 ,12.5
35 ,12.5
36 ,12.92
37 ,13.33
38 ,13.75
39 ,14.17
40 ,14.58
41 ,15.0
42 ,15.42
43 ,15.83
44 ,16.25
45 ,16.67
46 ,17.08
47 ,17.5
48 ,17.92
49 ,17.92
50 ,18.33
51 ,18.75
52 ,19.17
53 ,19.58
54 ,20.0
55 ,20.42
56 ,20.83
57 ,21.25
58 ,21.67
59 ,22.08
60 ,22.5
61 ,22.92
62 ,22.92
63 ,23.33
64 ,23.75
65 ,24.17
66 ,24.58
67 ,25.0
68 ,25.42
69 ,25.83
70 ,26.25
71 ,26.67
72 ,27.08
73 ,27.08
74 ,27.5
75 ,27.92
76 ,28.33
77 ,28.33
78 ,28.33
79 ,28.33
80 ,28.75
81 ,29.17
82 ,29.58
83 ,30.0
84 ,30.42
85 ,30.83
86 ,31.25
87 ,31.67
88 ,31.67
89 ,32.08
90 ,32.5
91 ,32.5
92 ,32.92
93 ,32.92
94 ,33.33
95 ,33.33
96 ,33.75
97 ,34.17
98 ,34.58
99 ,35.0
100 ,35.42
101 ,35.42
102 ,35.83
103 ,36.25
104 ,36.25
105 ,36.25
106 ,36.67
107 ,37.08
108 ,37.08
109 ,37.5
110 ,37.5
111 ,37.92
112 ,37.92
113 ,37.92
114 ,37.92
115 ,37.92
116 ,38.33
117 ,38.75
118 ,39.17
119 ,39.58
120 ,40.0
121 ,40.42
122 ,40.42
123 ,40.83
124 ,41.25
125 ,41.67
126 ,41.67
127 ,42.08
128 ,42.08
129 ,42.08
130 ,42.08
131 ,42.5
132 ,42.92
133 ,42.92
134 ,42.92
135 ,42.92
136 ,42.92
137 ,42.92
138 ,42.92
139 ,42.92
140 ,43.33
141 ,43.33
142 ,43.75
143 ,43.75
144 ,43.75
145 ,43.75
146 ,44.17
147 ,44.58
148 ,44.58
149 ,45.0
150 ,45.42
151 ,45.83
152 ,46.25
153 ,46.25
154 ,46.25
155 ,46.25
156 ,46.67
157 ,47.08
158 ,47.08
159 ,47.5
160 ,47.5
161 ,47.5
162 ,47.92
163 ,47.92
164 ,48.33
165 ,48.75
166 ,48.75
167 ,49.17
168 ,49.58
169 ,50.0
170 ,50.0
171 ,50.0
172 ,50.0
173 ,50.42
174 ,50.42
175 ,50.42
176 ,50.42
177 ,50.42
178 ,50.42
179 ,50.42
180 ,50.83
181 ,51.25
182 ,51.25
183 ,51.67
184 ,52.08
185 ,52.5
