No.of packets,coverage
1 ,0.42
2 ,0.83
3 ,1.25
4 ,1.67
5 ,2.08
6 ,2.5
7 ,2.92
8 ,3.33
9 ,3.75
10 ,3.75
11 ,4.17
12 ,4.58
13 ,5.0
14 ,5.42
15 ,5.83
16 ,6.25
17 ,6.67
18 ,7.08
19 ,7.5
20 ,7.92
21 ,8.33
22 ,8.75
23 ,9.17
24 ,9.58
25 ,10.0
26 ,10.42
27 ,10.83
28 ,11.25
29 ,11.67
30 ,12.08
31 ,12.5
32 ,12.92
33 ,13.33
34 ,13.75
35 ,14.17
36 ,14.58
37 ,15.0
38 ,15.42
39 ,15.83
40 ,15.83
41 ,16.25
42 ,16.67
43 ,17.08
44 ,17.5
45 ,17.92
46 ,18.33
47 ,18.75
48 ,19.17
49 ,19.58
50 ,20.0
51 ,20.42
52 ,20.83
53 ,20.83
54 ,21.25
55 ,21.67
56 ,21.67
57 ,22.08
58 ,22.08
59 ,22.5
60 ,22.92
61 ,23.33
62 ,23.75
63 ,24.17
64 ,24.58
65 ,25.0
66 ,25.42
67 ,25.83
68 ,26.25
69 ,26.25
70 ,26.67
71 ,26.67
72 ,27.08
73 ,27.5
74 ,27.5
75 ,27.92
76 ,28.33
77 ,28.75
78 ,29.17
79 ,29.17
80 ,29.58
81 ,29.58
82 ,29.58
83 ,30.0
84 ,30.42
85 ,30.83
86 ,31.25
87 ,31.67
88 ,32.08
89 ,32.5
90 ,32.92
91 ,33.33
92 ,33.33
93 ,33.75
94 ,33.75
95 ,34.17
96 ,34.17
97 ,34.17
98 ,34.58
99 ,34.58
100 ,35.0
101 ,35.42
102 ,35.83
103 ,36.25
104 ,36.67
105 ,37.08
106 ,37.08
107 ,37.5
108 ,37.5
109 ,37.5
110 ,37.5
111 ,37.5
112 ,37.5
113 ,37.5
114 ,37.5
115 ,37.92
116 ,38.33
117 ,38.33
118 ,38.75
119 ,39.17
120 ,39.17
121 ,39.17
122 ,39.17
123 ,39.58
124 ,40.0
125 ,40.0
126 ,40.0
127 ,40.42
128 ,40.83
129 ,40.83
130 ,41.25
131 ,41.67
132 ,42.08
133 ,42.08
134 ,42.5
135 ,42.5
136 ,42.92
137 ,43.33
138 ,43.75
139 ,43.75
140 ,44.17
141 ,44.17
142 ,44.17
143 ,44.17
144 ,44.17
145 ,44.17
146 ,44.17
147 ,44.58
148 ,44.58
149 ,44.58
150 ,45.0
151 ,45.0
152 ,45.42
153 ,45.42
154 ,45.83
155 ,45.83
156 ,46.25
157 ,46.67
158 ,46.67
159 ,46.67
160 ,47.08
161 ,47.5
162 ,47.92
163 ,47.92
164 ,48.33
165 ,48.75
166 ,48.75
167 ,48.75
168 ,48.75
169 ,48.75
170 ,48.75
171 ,48.75
172 ,48.75
173 ,49.17
174 ,49.17
175 ,49.58
176 ,49.58
177 ,50.0
178 ,50.0
179 ,50.0
180 ,50.42
181 ,50.42
182 ,50.42
183 ,50.42
184 ,50.83
185 ,51.25
